env,block,prior_mean,prior_var,recovery,grade_true
0,0,0.4911498114245113,0.2557385112503926,0.7773663810166227,0.7229733006236139
0,1,0.11548597256484058,0.026059695560241476,0.9214004925546071,0.07863729638550693
0,2,1.7047700767264247,6.047473368807614,0.6376826907379066,1.9752137622100945
0,3,0.7736140497369303,0.5784169910990669,0.7423138221631389,0.1337629825382978
0,4,0.05398824589085497,0.005593700585964173,0.9552942072449766,0.03220558901383833
0,5,1.0869472896713155,3.039996635511968,0.6138524202258818,0.16751606561218754
0,6,0.06484434889136034,0.0077192018896044615,0.5540882620444948,0.017263973459326534
0,7,0.3657061931017916,0.15446720364566446,0.7132497965710768,0.3544474935558451
0,8,0.7067155586285716,0.4131629788443964,0.67854442024302,1.0301808666299073
0,9,1.9455842628714382,8.891239779919207,0.8330210903906545,2.236929144052396
0,10,0.4812332625748181,0.16173605442217734,0.6679423870164053,0.3218129271352258
0,11,0.2056949804225591,0.042893525653291534,0.5924038577884639,0.7474163509131219
1,0,0.7324757969858667,1.7359193754790851,0.5827654127351601,0.07757510621351019
1,1,0.12068765114578175,0.014691248142935218,0.6275053531874649,0.050517549471426566
1,2,0.0891336310028725,0.004093920085192311,0.7609670230294845,0.11575317416134848
1,3,0.12608965123865823,0.026744255812002873,0.9612224191602399,0.0506582264746632
1,4,1.5517324933113879,6.532786340431851,0.6914877731712336,0.8598327809744648
1,5,0.06823340834734422,0.0076822961330286705,0.5694954001576509,0.035487709384518146
1,6,0.2402407496794946,0.15195977700203941,0.7220454927018586,0.21693206379960261
1,7,1.1628273828650257,3.0583478897365364,0.7372753464642321,1.3816276382071415
1,8,0.4701292427415339,0.16050367544508906,0.8474467815450298,0.17673992044441444
1,9,0.29412909809269366,0.08824045318525184,0.5948825612443374,0.043748113307195025
1,10,0.099632022112061,0.009632255151869567,0.9694398902393013,0.0885677551430599
1,11,1.3073417984492641,5.439835996855596,0.7804446222751822,1.1391851500472658
2,0,0.2652814848780824,0.11912453197628524,0.6949664103238008,0.26983340580395443
2,1,0.5688322716541999,0.756129744021796,0.7231610247100804,0.08321725559659736
2,2,2.928585474182686,14.775623804067266,0.6717229209996727,0.5695834086108728
2,3,0.05754448175723822,0.010978881957827435,0.6163922862483925,0.09943928475481668
2,4,0.15102078514160971,0.01806940298629914,0.560216404890014,0.018959347587216985
2,5,0.1406433449814807,0.051160075489802795,0.9485435423640398,0.029833621960354655
2,6,0.14739503462289336,0.03359476411514463,0.6797143854904832,0.36480383058509874
2,7,1.3226312755046994,2.6653299144218834,0.7509385516856764,0.4511578878307204
2,8,2.241103070764686,4.639557894774125,0.6127737873148427,1.6404767264220048
2,9,1.1186532980552357,2.545911976185965,0.8236838847035579,0.06893793387943603
2,10,0.32770871733302465,0.18391156154121696,0.6380966920342424,1.8583714017684476
2,11,0.09098738187557359,0.025244562892718952,0.9638080931554234,0.019839613407629336
3,0,0.1138385019045973,0.02654330076508801,0.8734085305207131,0.04160988477941751
3,1,1.1887494166002914,2.4692791792058557,0.6105011330398927,2.023949153475378
3,2,1.1087419434278876,0.7972535295740693,0.7803008837568732,3.237689271575416
3,3,0.5056383574469351,0.17654788762763762,0.9101290952135165,1.1130375972944406
3,4,0.4050674678819627,0.1404939580021321,0.9368745836680462,0.8452566160913108
3,5,0.10038473247709002,0.01714870452079878,0.7932344380127395,0.07350770491724151
3,6,2.958835973811657,22.12341539021064,0.853044599272192,4.261637733239835
3,7,0.8161089322192996,1.2368524437106339,0.8044434658646304,0.3873531396438216
3,8,0.11423039739314302,0.006766193561264802,0.6448867050075004,0.147775639528053
3,9,0.9003731564983135,0.43424425657567234,0.8344135693558424,0.702631095082945
3,10,0.45998793105475705,0.2510145919980003,0.8011813484577162,0.13165429582744373
3,11,1.8585843387429972,8.725323318166884,0.6972431364950018,1.323198992935129
4,0,0.05019328098345389,0.006560502598357251,0.8168897360889347,0.028498068243384564
